i,filename, IDD, droplet radius, bead r, bead theta
0, 5.33_0913_o14_b67.mp4, 3.3, 8.0, 7, 116.6
3, 5.33_0913_o15_b75.mp4, 4.0, 7.0, 1, 180.0
4, 2_0904_o19_b9.mp4, 3.3, 12.0, 4, 315.0
5, 2_0904_o17_b4_5.mp4, 3.3, 12.0, 6, 45.0
6, 2_0911_o10_b25.mp4, 2.9, 12.0, 10, 156.0
8, 6.67_0915_o4_b78.mp4, 5.1, 6.0, 6, 31.0
9, 2.67_0911_o15_b43.mp4, 4.7, 10.0, 8, 230.2
10, 2.67_0911_o19_b49.mp4, 3.7, 11.0, 10, 11.3
11, 2.67_0911_o14_b42.mp4, 3.5, 11.0, 9, 148.0
12, 2_0911_o1_b19_23_27.mp4, 2.9, 14.0, 15, 36.9
13, 5.33_0913_o10_b68.mp4, 2.6, 14.0, 7, 33.7
14, 2.67_0911_o19_b48.mp4, 0.8, 11.0, 3, 251.6
15, 2.67_0911_o15_b52.mp4, 4.3, 12.0, 6, 350.5
16, 2.67_0911_o12_b38.mp4, 3.8, 11.0, 6, 189.5
17, 5.33_0913_o1_b72.mp4, 2.6, 12.0, 10, 216.9
18, 5.33_0913_o8_b65.mp4, 4.0, 11.0, 3, 18.4
19, 2_0911_o2_b22.mp4, 2.7, 10.0, 3, 90.0
20, 2_0911_o7_b13.mp4, 2.6, 11.0, 5, 126.9
21, 5.33_0913_o2_b74.mp4, 3.3, 11.0, 2, 270.0
22, 2.67_0911_o20_b54.mp4, 1.4, 12.0, 12, 329.0
24, 2_0911_o6_b17_n.mp4, 2.9, 12.0, 11, 142.1
25, 2_0911_o8_b24.mp4, 3.0, 13.0, 10, 156.0
27, 5.33_0913_o3_b63.mp4, 3.1, 11.0, 11, 165.0
28, 2.67_0911_o16_b44.mp4, 4.0, 12.0, 13, 32.5
29, 2.67_0911_o16_b45.mp4, 3.1, 11.0, 2, 116.6
30, 2_0911_o9_b30.mp4, 3.1, 13.0, 6, 218.7
31, 2_0904_o18_b6.mp4, 3.3, 13.0, 2, 153.4
32, 1_0904_o2_b2.mp4, 2.9, 14.0, 9, 20.6
33, 5.33_0913_o11_b69_76.mp4, 3.9, 8.0, 1, 0.0
34, 2_0904_o11_b8.mp4, 3.2, 12.0, 6, 329.0
35, 2_0911_o5_b28.mp4, 3.0, 12.0, 13, 331.4
36, 2.67_0911_o20_b51.mp4, 4.3, 11.0, 6, 350.5
37, 2.67_0911_o12_b56.mp4, 4.6, 10.0, 4, 45.0
38, 2.67_0911_o13_b53.mp4, 3.1, 11.0, 7, 8.1
39, 5.33_0913_o13_b66.mp4, 3.4, 9.0, 9, 35.5
40, 2_0911_o4_b29_n.mp4, 2.7, 12.0, 9, 186.3
41, 4_0911_o21_b61.mp4, 5.0, 10.0, 5, 201.8
42, 2.67_0911_o13_b41.mp4, 4.8, 10.0, 5, 306.9
43, 5.33_0913_o6_b70.mp4, 4.3, 9.0, 9, 353.7
44, 5.33_0913_o12_b71.mp4, 2.2, 9.0, 4, 346.0
45, 3.67_0915_o19_b77.mp4, 3.0, 11.0, 3, 341.6
46, 2_0904_o15_b3.mp4, 3.5, 11.0, 9, 125.5
47, 2_0911_o6_b15_16_21.mp4, 4.0, 11.0, 6, 9.5
48, 4_0911_o23_b59.mp4, 2.8, 9.0, 5, 0.0
49, 5.33_0913_o4_b73.mp4, 4.1, 9.0, 4, 180.0
50, 2_0911_o6_b32.mp4, 3.5, 11.0, 4, 63.4
51, 2.67_0911_o14_b58.mp4, 4.2, 11.0, 1, 0.0
53, 2.67_0911_o12_b37.mp4, 4.2, 11.0, 2, 296.6
54, 2_0911_o5_b18_33.mp4, 3.4, 11.0, 8, 187.1
55, 4_0911_o22_b62.mp4, 4.0, 10.0, 6, 189.5
56, 2.67_0911_o18_b55.mp4, 3.4, 11.0, 6, 308.7
57, 2_0911_o10_b14.mp4, 3.3, 12.0, 3, 135.0
58, 2_0911_o7_b26_31.mp4, 2.9, 12.0, 6, 80.5
59, 5.33_0913_o5_b64.mp4, 3.8, 8.0, 4, 326.3
60, 4_0911_o23_b60.mp4, 3.9, 9.0, 4, 333.4
61, 2_0904_o19_b7.mp4, 2.8, 12.0, 2, 296.6
62, 2.67_0911_o11_b50.mp4, 5.4, 10.0, 6, 128.7
63, 2.67_0911_o18_b47.mp4, 3.6, 11.0, 4, 146.3
