Date,FRR,Filename_x,Chunk Number,Peak Height,Bead_number,Droplet_r,bead_d,adjusted_drop_r,Radius,Theta,Bead Section,Filename_y,IDD,dropR,beadR,beadTheta
911,2.67,2.67_0911_poutput_data18.csv,18,20.342,47,41.83024621,14.66,84.0,40.11736624,208.4425623,BR,2.67_0911_o18_b47.mp4,3.6,11.0,4,146.3
911,2.67,2.67_0911_poutput_data16.csv,40,20.341,45,42.46729238,14.66,85.28,18.51768347,144.7590621,TR,2.67_0911_o16_b45.mp4,3.1,11.0,2,116.6
911,2.67,2.67_0911_poutput_data16.csv,33,20.343,44,41.1289795,14.66,82.6,26.14549738,314.1244598,BL,2.67_0911_o16_b44.mp4,4.0,12.0,13,32.5
911,2.67,2.67_0911_poutput_data15.csv,23,6.004,52,43.14681292,14.66,86.64,9.136397813,291.8340162,BL,2.67_0911_o15_b52.mp4,4.3,12.0,6,350.5
911,2.67,2.67_0911_poutput_data15.csv,32,20.342,43,41.18334704,14.66,82.71,23.25557363,232.6058103,BR,2.67_0911_o15_b43.mp4,4.7,10.0,8,230.2
911,2.67,2.67_0911_poutput_data14.csv,50,0.748,58,41.4541152,14.66,83.25,30.22937341,82.87592402,TC,2.67_0911_o14_b58.mp4,4.2,11.0,1,0.0
911,2.67,2.67_0911_poutput_data14.csv,13,20.34,42,42.04366745,14.66,84.43,34.9066187,181.7680701,CR,2.67_0911_o14_b42.mp4,3.5,11.0,9,148.0
911,2.67,2.67_0911_poutput_data13.csv,20,3.71,53,42.3089301,14.66,84.96,23.28560485,318.6231112,BL,2.67_0911_o13_b53.mp4,3.1,11.0,7,8.1
911,2.67,2.67_0911_poutput_data13.csv,55,20.343,41,40.91078684,14.66,82.17,23.42732221,290.4910675,BL,2.67_0911_o13_b41.mp4,4.8,10.0,5,306.9
911,2.67,2.67_0911_poutput_data12.csv,2,2.622,56,41.72312621,14.66,83.79,22.41799726,54.71694203,TL,2.67_0911_o12_b56.mp4,4.6,10.0,4,45.0
911,2.67,2.67_0911_poutput_data12.csv,31,1.845,38,40.69142422,14.66,81.73,21.42234891,328.7385545,BL,2.67_0911_o12_b38.mp4,3.8,11.0,6,189.5
911,2.67,2.67_0911_poutput_data12.csv,8,20.337,37,42.14997284,14.66,84.64,15.43428165,273.8748208,BC,2.67_0911_o12_b37.mp4,4.2,11.0,2,296.6
911,2.67,2.67_0911_poutput_data11.csv,17,8.207,50,42.20302511,14.66,84.75,19.49914608,115.3126325,TR,2.67_0911_o11_b50.mp4,5.4,10.0,6,128.7
904,1.0,1.0_0904_poutput_data2.csv,10,7.298,2,51.34449764,14.66,103.03,25.23149274,19.38574539,CL,1_0904_o2_b2.mp4,2.9,14.0,9,20.6
